district,district_code,school,school_code,no,yes,total,year,group
Enfield School District,0490011,Edgar H. Parkman - Autism Spectrum Disorder (ASD),0490511,0,*,*,2015,special-ed
Enfield School District,0490011,Edgar H. Parkman School,0491311,282,41,323,2015,special-ed
Enfield School District,0490011,Eli Whitney - Intermediate Adaptive Learning (IAL),0491411,0,*,*,2015,special-ed
Enfield School District,0490011,Eli Whitney School,0491611,350,61,411,2015,special-ed
Enfield School District,0490011,Enfield High School,0496111,625,90,715,2015,special-ed
Enfield School District,0490011,Enfield Street - Autism Spectrum Disorder (ASD),0490311,0,8,8,2015,special-ed
Enfield School District,0490011,Enfield Street School,0490211,250,26,276,2015,special-ed
Enfield School District,0490011,Enfield Transitional Learning Academy,0499011,0,6,6,2015,special-ed
Enfield School District,0490011,Enrico Fermi High School,0496211,738,123,861,2015,special-ed
Enfield School District,0490011,Hazardville Memorial School,0490411,260,84,344,2015,special-ed
Enfield School District,0490011,Head Start Program,0498011,87,17,104,2015,special-ed
Enfield School District,0490011,Henry Barnard - Educational Counseling Program (ECP),0490611,0,*,*,2015,special-ed
Enfield School District,0490011,Henry Barnard School,0491811,328,36,364,2015,special-ed
Enfield School District,0490011,John F. Kennedy Middle School,0495211,916,149,1065,2015,special-ed
Enfield School District,0490011,Nathan Hale - Primary Adaptive Learning (PAL),0490811,0,6,6,2015,special-ed
Enfield School District,0490011,Nathan Hale School,0491111,192,30,222,2015,special-ed
Enfield School District,0490011,Prudence Crandall - Educational Counseling Program (ECP),0490711,0,*,*,2015,special-ed
Enfield School District,0490011,Prudence Crandall School,0491511,361,51,412,2015,special-ed
Enfield School District,0490011,Stowe - Early Learning Center (SELC),0491011,*,*,36,2015,special-ed
Essex School District,0500011,Essex Elementary School,0500111,339,78,417,2015,special-ed
Explorations District,2720013,Explorations,2726113,56,36,92,2015,special-ed
Fairfield School District,0510011,Burr Elementary School,0510211,387,31,418,2015,special-ed
Fairfield School District,0510011,Dwight Elementary School,0510111,292,43,335,2015,special-ed
Fairfield School District,0510011,Early Childhood Center,0518011,33,79,112,2015,special-ed
Fairfield School District,0510011,Fairfield Ludlowe High School,0516011,1336,172,1508,2015,special-ed
Fairfield School District,0510011,Fairfield Warde High School,0516211,1335,183,1518,2015,special-ed
Fairfield School District,0510011,Fairfield Woods Middle School,0515211,805,81,886,2015,special-ed
Fairfield School District,0510011,Holland Hill School,0510411,375,30,405,2015,special-ed
Fairfield School District,0510011,Jennings School,0511711,281,39,320,2015,special-ed
Fairfield School District,0510011,McKinley School,0510611,385,41,426,2015,special-ed
Fairfield School District,0510011,Mill Hill School,0510711,346,36,382,2015,special-ed
Fairfield School District,0510011,North Stratfield School,0511611,389,26,415,2015,special-ed
Fairfield School District,0510011,Osborn Hill School,0511811,445,44,489,2015,special-ed
Fairfield School District,0510011,Riverfield School,0511211,368,40,408,2015,special-ed
Fairfield School District,0510011,Roger Ludlowe Middle School,0515311,716,86,802,2015,special-ed
Fairfield School District,0510011,Sherman School,0511311,450,29,479,2015,special-ed
Fairfield School District,0510011,Stratfield School,0511411,407,33,440,2015,special-ed
Fairfield School District,0510011,Tomlinson Middle School,0515111,610,75,685,2015,special-ed
Fairfield School District,0510011,Walter Fitzgerald Campus,0510311,10,16,26,2015,special-ed
Farmington School District,0520011,East Farms School,0520411,414,29,443,2015,special-ed
Farmington School District,0520011,Farmington Alternative High School,0520611,*,*,12,2015,special-ed
Farmington School District,0520011,Farmington Collaborative PK,0528011,94,29,123,2015,special-ed
Farmington School District,0520011,Farmington High School,0526111,1069,151,1220,2015,special-ed
Farmington School District,0520011,Irving A. Robbins Middle School,0525111,547,76,623,2015,special-ed
Farmington School District,0520011,Noah Wallace School,0520211,338,25,363,2015,special-ed
Farmington School District,0520011,Union School,0520111,281,41,322,2015,special-ed
Farmington School District,0520011,West District School,0520311,268,32,300,2015,special-ed
Farmington School District,0520011,West Woods Upper Elementary School,0520511,582,81,663,2015,special-ed
Franklin School District,0530011,Franklin Elementary School,0530111,145,22,167,2015,special-ed
Glastonbury School District,0540011,Buttonball Lane School,0540211,409,50,459,2015,special-ed
Glastonbury School District,0540011,Eastbury School,0540311,232,24,256,2015,special-ed
Glastonbury School District,0540011,Gideon Welles School,0540811,440,39,479,2015,special-ed
Glastonbury School District,0540011,Glastonbury High School,0546111,1852,185,2037,2015,special-ed
Glastonbury School District,0540011,Hebron Avenue School,0540411,376,24,400,2015,special-ed
Glastonbury School District,0540011,Hopewell School,0540611,349,37,386,2015,special-ed
Glastonbury School District,0540011,LINKS Academy,0540111,0,19,19,2015,special-ed
Glastonbury School District,0540011,LINKS Transition,0541411,0,15,15,2015,special-ed
Glastonbury School District,0540011,Links Academy,0540111,0,19,19,2015,special-ed
Glastonbury School District,0540011,Naubuc School,0540711,325,36,361,2015,special-ed
Glastonbury School District,0540011,Nayaug Elementary School,0540911,503,50,553,2015,special-ed
Glastonbury School District,0540011,PreK-Eastbury,0540511,8,22,30,2015,special-ed
Glastonbury School District,0540011,PreK-Nayaug,0541011,7,12,19,2015,special-ed
Glastonbury School District,0540011,Smith Middle School,0545211,927,109,1036,2015,special-ed
Granby School District,0560011,Frank M. Kearns Primary School,0560111,367,41,408,2015,special-ed
Granby School District,0560011,Granby Memorial High School,0566111,632,62,694,2015,special-ed
Granby School District,0560011,Granby Memorial Middle School,0565111,279,33,312,2015,special-ed
Granby School District,0560011,Kelly Lane Intermediate School,0560411,231,40,271,2015,special-ed
Granby School District,0560011,Wells Road Intermediate School,0560311,230,31,261,2015,special-ed
Great Oaks Charter School District,2940013,Great Oaks Charter School,2940113,189,37,226,2015,special-ed
Greenwich School District,0570011,Alternative High School Programs,0571411,13,19,32,2015,special-ed
Greenwich School District,0570011,Central Middle School,0575111,514,53,567,2015,special-ed
Greenwich School District,0570011,Community Connections,0571211,0,*,*,2015,special-ed
Greenwich School District,0570011,Cos Cob School,0570211,416,21,437,2015,special-ed
Greenwich School District,0570011,Eastern Middle School,0575211,742,80,822,2015,special-ed
Greenwich School District,0570011,Glenville School,0570411,416,35,451,2015,special-ed
Greenwich School District,0570011,Greenwich High School,0576111,2216,318,2534,2015,special-ed
Greenwich School District,0570011,Hamilton Avenue School,0570511,314,50,364,2015,special-ed
Greenwich School District,0570011,International School At Dundee,0571311,346,22,368,2015,special-ed
Greenwich School District,0570011,Julian Curtiss School,0570311,329,32,361,2015,special-ed
Greenwich School District,0570011,New Lebanon School,0570611,224,41,265,2015,special-ed
Greenwich School District,0570011,North Mianus School,0570711,440,42,482,2015,special-ed
Greenwich School District,0570011,North Street School,0570811,361,31,392,2015,special-ed
Greenwich School District,0570011,Old Greenwich School,0570911,413,36,449,2015,special-ed
Greenwich School District,0570011,Parkway School,0571111,228,33,261,2015,special-ed
Greenwich School District,0570011,Riverside School,0571011,464,19,483,2015,special-ed
Greenwich School District,0570011,Western Middle School,0575311,453,82,535,2015,special-ed
Griswold School District,0580011,Griswold Alternative School,0580111,*,*,14,2015,special-ed
Griswold School District,0580011,Griswold Elementary School,0580311,658,99,757,2015,special-ed
Griswold School District,0580011,Griswold High School,0586211,487,78,565,2015,special-ed
Griswold School District,0580011,Griswold Middle School,0585111,470,75,545,2015,special-ed
Groton School District,0590011,Carl C. Cutler Middle School,0595311,427,68,495,2015,special-ed
Groton School District,0590011,Catherine Kolnaski Magnet School,0590311,307,57,364,2015,special-ed
Groton School District,0590011,Catherine Kolnaski Magnet School,0592011,307,57,364,2015,special-ed
Groton School District,0590011,Charles Barnum School,0591811,322,61,383,2015,special-ed
Groton School District,0590011,Claude Chester School,0590311,287,44,331,2015,special-ed
Groton School District,0590011,Mary Morrisson School,0591711,297,79,376,2015,special-ed
Groton School District,0590011,New Beginnings Alternative Program,0590211,0,22,22,2015,special-ed
Groton School District,0590011,Northeast Academy Elementary School,0591911,336,43,379,2015,special-ed
Groton School District,0590011,Pleasant Valley School,0591211,267,29,296,2015,special-ed
Groton School District,0590011,Robert E. Fitch High School,0596111,936,134,1070,2015,special-ed
Groton School District,0590011,S. B. Butler School,0590111,208,74,282,2015,special-ed
Groton School District,0590011,Virtual Learning Academy,0590611,*,*,*,2015,special-ed
Groton School District,0590011,West Side Middle School,0595211,369,86,455,2015,special-ed
Guilford School District,0600011,A. Baldwin Middle School,0600711,490,69,559,2015,special-ed
Guilford School District,0600011,A. W. Cox School,0600611,274,28,302,2015,special-ed
Guilford School District,0600011,Calvin Leete School,0600411,233,21,254,2015,special-ed
Guilford School District,0600011,E. C. Adams Middle School,0605111,486,66,552,2015,special-ed
Guilford School District,0600011,Guilford High School,0606111,952,131,1083,2015,special-ed
Guilford School District,0600011,Guilford Lakes School,0600211,277,45,322,2015,special-ed
Guilford School District,0600011,Melissa Jones School,0600311,306,15,321,2015,special-ed
Hamden School District,0620011,Alice Peck Learning Center,0628011,67,83,150,2015,special-ed
Hamden School District,0620011,Bear Path School,0621211,382,74,456,2015,special-ed
Hamden School District,0620011,Church Street School,0620211,254,79,333,2015,special-ed
Hamden School District,0620011,Dunbar Hill School,0620311,227,47,274,2015,special-ed
Hamden School District,0620011,Hamden Collaborative Learning Center,0620511,15,58,73,2015,special-ed
Hamden School District,0620011,Hamden High School,0626111,1384,214,1598,2015,special-ed
Hamden School District,0620011,Hamden Middle School,0625211,677,139,816,2015,special-ed
Hamden School District,0620011,Helen Street School,0620411,286,30,316,2015,special-ed
Hamden School District,0620011,Ridge Hill School,0621111,276,41,317,2015,special-ed
Hamden School District,0620011,Shepherd Glen School,0620111,272,32,304,2015,special-ed
Hamden School District,0620011,Spring Glen School,0621011,410,35,445,2015,special-ed
Hamden School District,0620011,West Woods School,0621411,362,46,408,2015,special-ed
Hampton School District,0630011,Hampton Elementary School,0630111,83,18,101,2015,special-ed
Hartford School District,0640011,Asian Studies Academy,0640711,560,89,649,2015,special-ed
Hartford School District,0640011,Asian Studies Academy at Bellizzi School,0640711,560,89,649,2015,special-ed
Hartford School District,0640011,Autism Program - Dr. James H Naylor / CCSU,0645711,0,8,8,2015,special-ed
Hartford School District,0640011,Autism Program - Environmental Sciences Magnet School at Mary M Hooker,0644311,0,*,*,2015,special-ed
Hartford School District,0640011,Autism Program - Sarah J. Rawson Elementary School,0644411,0,45,45,2015,special-ed
Hartford School District,0640011,Autism Program - Simpson-Waverly,0649311,0,14,14,2015,special-ed
Hartford School District,0640011,Autism Program-Burr School,0648611,0,9,9,2015,special-ed
Hartford School District,0640011,Batchelder School,0640411,403,75,478,2015,special-ed
Hartford School District,0640011,Betances Early Reading Lab Magnet School,0642811,261,18,279,2015,special-ed
Hartford School District,0640011,Breakthrough II Elementary School,0643511,234,46,280,2015,special-ed
Hartford School District,0640011,Breakthrough II Magnet School,0643511,234,46,280,2015,special-ed
Hartford School District,0640011,Breakthrough Magnet School,0643311,302,53,355,2015,special-ed
Hartford School District,0640011,Bulkeley High School Lower School,0646111,339,73,412,2015,special-ed
Hartford School District,0640011,Bulkeley High School Upper School,0647111,341,38,379,2015,special-ed
Hartford School District,0640011,Burns Latino Studies Academy,0640611,445,75,520,2015,special-ed
Hartford School District,0640011,Burr School,0642311,493,97,590,2015,special-ed
Hartford School District,0640011,Capital Community College Magnet Academy,0643911,49,7,56,2015,special-ed
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,554,75,629,2015,special-ed
Hartford School District,0640011,Clark School,0642411,207,39,246,2015,special-ed
Hartford School District,0640011,Classical Magnet School,0646411,590,73,663,2015,special-ed
Hartford School District,0640011,Culinary Arts Academy,0646011,224,61,285,2015,special-ed
Hartford School District,0640011,DDP - Simpson-Waverly,0649411,0,*,*,2015,special-ed
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,567,93,660,2015,special-ed
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,261,18,279,2015,special-ed
Hartford School District,0640011,EDP - Betances Early Reading Lab,0645811,0,17,17,2015,special-ed
Hartford School District,0640011,EDP - Bulkeley High School,0648311,0,15,15,2015,special-ed
Hartford School District,0640011,EDP - HPHS Academy of Engineering and Green Technology,0648211,0,29,29,2015,special-ed
Hartford School District,0640011,EDP - M.D. Fox,0645911,0,34,34,2015,special-ed
Hartford School District,0640011,EDP - McDonough Expeditionary Learning School,0648111,0,9,9,2015,special-ed
Hartford School District,0640011,Early Childhood Development Center (ECDC),0644111,0,28,28,2015,special-ed
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,539,74,613,2015,special-ed
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,452,80,532,2015,special-ed
Hartford School District,0640011,Fred D. Wish Museum School,0642211,260,44,304,2015,special-ed
Hartford School District,0640011,Global Communications Academy,0643611,566,95,661,2015,special-ed
Hartford School District,0640011,Great Path Academy High School at MCC,0647911,247,21,268,2015,special-ed
Hartford School District,0640011,Great Path Academy at MCC,0647911,247,21,268,2015,special-ed
Hartford School District,0640011,HPHS Academy of Engineering and Green Technology,0647211,225,79,304,2015,special-ed
Hartford School District,0640011,HPHS Academy of Nursing and Health Science,0647511,293,69,362,2015,special-ed
Hartford School District,0640011,HPHS Law and Government Academy,0647411,302,65,367,2015,special-ed
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,904,118,1022,2015,special-ed
Hartford School District,0640011,Hartford PreKindergarten Magnet School,0641311,134,9,143,2015,special-ed
Hartford School District,0640011,High School Inc.,0647611,200,33,233,2015,special-ed
Hartford School District,0640011,"High School, Inc.",0647611,200,33,233,2015,special-ed
Hartford School District,0640011,High Step Transition,0648411,0,16,16,2015,special-ed
Hartford School District,0640011,IB Global Communications Academy,0643611,566,95,661,2015,special-ed
Hartford School District,0640011,Journalism and Media Academy Magnet School,0647711,165,42,207,2015,special-ed
Hartford School District,0640011,Kennelly School,0641011,489,82,571,2015,special-ed
Hartford School District,0640011,Kinsella Magnet School of Performing Arts,0641111,796,114,910,2015,special-ed
Hartford School District,0640011,LC - Breakthrough II,0649511,0,*,*,2015,special-ed
Hartford School District,0640011,LC - Burns,0649611,0,8,8,2015,special-ed
Hartford School District,0640011,LC - Moylan,0649811,0,*,*,2015,special-ed
Hartford School District,0640011,M. D. Fox Elementary School,0640811,526,95,621,2015,special-ed
Hartford School District,0640011,M. L. King School,0641611,285,71,356,2015,special-ed
Hartford School District,0640011,MDP - Batchelder School,0644811,0,17,17,2015,special-ed
Hartford School District,0640011,MDP - Bulkeley High School,0645011,0,17,17,2015,special-ed
Hartford School District,0640011,MDP - HPHS Law and Government Academy,0644911,0,27,27,2015,special-ed
Hartford School District,0640011,MDP - Moylan School,0648511,0,11,11,2015,special-ed
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,192,47,239,2015,special-ed
Hartford School District,0640011,Milner Elementary School,0641911,285,49,334,2015,special-ed
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,316,24,340,2015,special-ed
Hartford School District,0640011,Montessori Magnet at Fisher School,0643711,316,24,340,2015,special-ed
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,241,18,259,2015,special-ed
Hartford School District,0640011,Noah Webster Micro Society School,0642011,587,73,660,2015,special-ed
Hartford School District,0640011,Parkville Community School,0641511,457,80,537,2015,special-ed
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,327,92,419,2015,special-ed
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,796,114,910,2015,special-ed
Hartford School District,0640011,Renzulli Academy,0644011,*,*,99,2015,special-ed
Hartford School District,0640011,SAND School,0640111,311,83,394,2015,special-ed
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,323,44,367,2015,special-ed
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,269,40,309,2015,special-ed
Hartford School District,0640011,Sanchez School,0643011,421,59,480,2015,special-ed
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,325,48,373,2015,special-ed
Hartford School District,0640011,Simpson-Waverly School,0642611,226,67,293,2015,special-ed
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,642,65,707,2015,special-ed
Hartford School District,0640011,University High School of Science and Engineering,0646711,397,34,431,2015,special-ed
Hartford School District,0640011,University High of Science and Engineering,0646711,397,34,431,2015,special-ed
Hartford School District,0640011,West Middle School,0642111,314,45,359,2015,special-ed
Hartland School District,0650011,Hartland School,0650111,163,24,187,2015,special-ed
Hebron School District,0670011,Gilead Hill School,0670211,255,39,294,2015,special-ed
Hebron School District,0670011,Hebron Elementary School,0670111,377,59,436,2015,special-ed
Highville Charter School District,2860013,Highville Charter School,2860113,439,23,462,2015,special-ed
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,307,24,331,2015,special-ed
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,227,44,271,2015,special-ed
Jumoke Academy District,2610013,Jumoke Academy,2610113,692,42,734,2015,special-ed
Kent School District,0680011,Kent Center School,0680111,210,27,237,2015,special-ed
Killingly School District,0690011,Goodyear Early Childhood Center,0698011,98,32,130,2015,special-ed
Killingly School District,0690011,Killingly Alternative Learning Program,0690611,16,0,16,2015,special-ed
Killingly School District,0690011,Killingly Central School,0690111,324,53,377,2015,special-ed
Killingly School District,0690011,Killingly High School,0696111,707,118,825,2015,special-ed
Killingly School District,0690011,Killingly Intermediate School,0695211,601,87,688,2015,special-ed
Killingly School District,0690011,Killingly Memorial School,0690311,429,55,484,2015,special-ed
Learn,2450014,Connecticut River Academy,2456014,370,64,434,2015,special-ed
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,115,30,145,2015,special-ed
Learn,2450014,Goodwin College Early Childhood Interdistrict Magnet School,2450314,341,29,370,2015,special-ed
Learn,2450014,LEARN ABA Program at Center School,2451214,0,*,*,2015,special-ed
Learn,2450014,LEARN Haynes Elementary Intensive Program,2451114,0,12,12,2015,special-ed
Learn,2450014,LEARN High School ABA at MS,2450614,0,*,*,2015,special-ed
Learn,2450014,LEARN Kelly Middle School Intensive Program,2450914,0,*,*,2015,special-ed
Learn,2450014,LEARN Ledyard RICHES Program,2450714,0,*,*,2015,special-ed
Learn,2450014,LEARN SAILS Middle School Program,2450814,0,*,*,2015,special-ed
Learn,2450014,LEARN SAILS Program at Salem,2451014,0,8,8,2015,special-ed
Learn,2450014,LEARN STS 18-21 Year Old Program,2450414,0,*,*,2015,special-ed
Learn,2450014,Learn ABA Program at Center School,2451214,0,*,*,2015,special-ed
Learn,2450014,Learn Pathways Program,2450514,0,*,*,2015,special-ed
Learn,2450014,Learn SAILS Program at Salem,2451014,0,8,8,2015,special-ed
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,234,37,271,2015,special-ed
Learn,2450014,Regional Multicultural Magnet School,2450114,475,60,535,2015,special-ed
Learn,2450014,The Friendship School,2450214,423,82,505,2015,special-ed
Learn,2450014,Three Rivers Middle College Magnet School,2456214,*,*,67,2015,special-ed
Lebanon School District,0710011,Lebanon Elementary School,0710111,316,52,368,2015,special-ed
Lebanon School District,0710011,Lebanon Middle School,0715111,256,44,300,2015,special-ed
Lebanon School District,0710011,Lyman Memorial High School,0716211,320,57,377,2015,special-ed
Ledyard School District,0720011,Gales Ferry School,0720211,198,26,224,2015,special-ed
Ledyard School District,0720011,Gallup Hill School,0720411,267,70,337,2015,special-ed
Ledyard School District,0720011,Juliet W. Long School,0720311,252,42,294,2015,special-ed
Ledyard School District,0720011,Ledyard Center School,0720111,372,35,407,2015,special-ed
Ledyard School District,0720011,Ledyard High School,0726111,690,143,833,2015,special-ed
Ledyard School District,0720011,Ledyard Middle School,0725111,274,49,323,2015,special-ed
Lisbon School District,0730011,Lisbon Central School,0730111,344,44,388,2015,special-ed
Litchfield School District,0740011,Center School,0740211,242,28,270,2015,special-ed
Litchfield School District,0740011,Litchfield High School,0746111,274,22,296,2015,special-ed
Litchfield School District,0740011,Litchfield Intermediate School,0740311,188,32,220,2015,special-ed
Litchfield School District,0740011,Litchfield Middle School,0746011,149,26,175,2015,special-ed
Madison School District,0760011,Daniel Hand High School,0766111,1037,127,1164,2015,special-ed
Madison School District,0760011,Dr. Robert H. Brown Middle School,0760611,357,59,416,2015,special-ed
Madison School District,0760011,Island Avenue Elementary School,0760211,248,20,268,2015,special-ed
Madison School District,0760011,J. Milton Jeffrey Elementary School,0760111,304,34,338,2015,special-ed
Madison School District,0760011,Kathleen H. Ryerson Elementary School,0760311,200,29,229,2015,special-ed
Madison School District,0760011,Town Campus Learning Center,0769011,20,23,43,2015,special-ed
Madison School District,0760011,Walter C. Polson Upper Middle School,0765211,490,66,556,2015,special-ed
Manchester School District,0770011,Bentley Alternative Education Program,0770211,36,17,53,2015,special-ed
Manchester School District,0770011,Bowers School,0770111,353,39,392,2015,special-ed
Manchester School District,0770011,Buckley School,0770311,288,77,365,2015,special-ed
Manchester School District,0770011,Elisabeth M. Bennet Academy,0771711,369,51,420,2015,special-ed
Manchester School District,0770011,Highland Park School,0770411,247,15,262,2015,special-ed
Manchester School District,0770011,Illing Middle School,0775311,655,125,780,2015,special-ed
Manchester School District,0770011,Keeney School,0770611,310,44,354,2015,special-ed
Manchester School District,0770011,Manchester High School,0776111,1368,166,1534,2015,special-ed
Manchester School District,0770011,Manchester Preschool - Site 2,0770811,6,10,16,2015,special-ed
Manchester School District,0770011,Manchester Preschool Center,0778011,160,26,186,2015,special-ed
Manchester School District,0770011,Manchester Regional Academy,0779011,14,53,67,2015,special-ed
Manchester School District,0770011,Manchester Transition Center,0779111,0,13,13,2015,special-ed
Manchester School District,0770011,Martin School,0771611,243,25,268,2015,special-ed
Manchester School District,0770011,New Horizons,0770711,12,10,22,2015,special-ed
Manchester School District,0770011,Robertson School,0771011,328,28,356,2015,special-ed
Manchester School District,0770011,Verplanck School,0771211,350,36,386,2015,special-ed
Manchester School District,0770011,Waddell School,0771311,338,39,377,2015,special-ed
Manchester School District,0770011,Washington School,0771411,323,34,357,2015,special-ed
Mansfield School District,0780011,Annie E. Vinton School,0780411,234,34,268,2015,special-ed
Mansfield School District,0780011,Dorothy C. Goodwin School,0780211,194,13,207,2015,special-ed
Mansfield School District,0780011,Mansfield Middle School School,0785111,464,66,530,2015,special-ed
Mansfield School District,0780011,Southeast Elementary School,0780511,221,21,242,2015,special-ed
Marlborough School District,0790011,Elmer Thienes-Mary Hall Elementary School,0790111,504,52,556,2015,special-ed
Meriden School District,0800011,Nathan Hale School,0800711,565,65,630,2015,special-ed
Meriden School District,0800011,Benjamin Franklin School,0800111,306,40,346,2015,special-ed
Meriden School District,0800011,Casimir Pulaski School,0801111,473,84,557,2015,special-ed
Meriden School District,0800011,Community Classroom Collaborative-Meriden School District,0800211,0,11,11,2015,special-ed
Meriden School District,0800011,Francis T. Maloney High School,0806111,970,207,1177,2015,special-ed
Meriden School District,0800011,Hanover School,0800311,539,77,616,2015,special-ed
Meriden School District,0800011,Israel Putnam School,0800411,516,72,588,2015,special-ed
Meriden School District,0800011,John Barry School,0800511,395,81,476,2015,special-ed
Meriden School District,0800011,Lincoln Middle School,0805211,627,116,743,2015,special-ed
Meriden School District,0800011,Orville H. Platt High School,0806211,823,190,1013,2015,special-ed
Meriden School District,0800011,Roger Sherman School,0800811,388,171,559,2015,special-ed
Meriden School District,0800011,STARS-Meriden School District,0800611,0,39,39,2015,special-ed
Meriden School District,0800011,STEP-Meriden School District,0800911,*,*,19,2015,special-ed
Meriden School District,0800011,Steps-Meriden School District,0801211,*,*,16,2015,special-ed
Meriden School District,0800011,Thomas Hooker School,0801011,359,62,421,2015,special-ed
Meriden School District,0800011,Venture Academy-Meriden School District,0801311,*,*,42,2015,special-ed
Meriden School District,0800011,Washington Middle School,0805411,553,121,674,2015,special-ed
Middletown School District,0830011,Bielefield School,0830211,259,30,289,2015,special-ed
Middletown School District,0830011,Evening Program - MHS,0831611,11,0,11,2015,special-ed
Middletown School District,0830011,Farm Hill School,0830511,301,36,337,2015,special-ed
Middletown School District,0830011,ICM - Farm Hill,0830611,0,*,*,2015,special-ed
Middletown School District,0830011,ICM - Lawrence,0830711,0,*,*,2015,special-ed
Middletown School District,0830011,ICM - Spencer,0832011,0,7,7,2015,special-ed
Middletown School District,0830011,ICM - Wesley,0830811,0,*,*,2015,special-ed
Middletown School District,0830011,ICM- Woodrow Wilson Middle School,0830411,0,6,6,2015,special-ed
Middletown School District,0830011,Keigwin Middle School,0831511,275,37,312,2015,special-ed
Middletown School District,0830011,Lawrence School,0831311,262,18,280,2015,special-ed
Middletown School District,0830011,MHS - Alternative Education Program 1,0831811,*,*,8,2015,special-ed
Middletown School District,0830011,MHS - Alternative Education Program 2,0831911,*,*,7,2015,special-ed
Middletown School District,0830011,MHS- Alternative Education Program 3,0832211,*,*,*,2015,special-ed
Middletown School District,0830011,MacDonough School,0830911,177,31,208,2015,special-ed
Middletown School District,0830011,Middletown High School,0836211,1072,130,1202,2015,special-ed
Middletown School District,0830011,Moody School,0831211,239,22,261,2015,special-ed
Middletown School District,0830011,OASIS,0830311,0,*,*,2015,special-ed
Middletown School District,0830011,STEM - Macdonough,0832111,20,0,20,2015,special-ed
Middletown School District,0830011,Snow School,0831111,315,78,393,2015,special-ed
Middletown School District,0830011,Spencer School,0830111,267,26,293,2015,special-ed
Middletown School District,0830011,Transition to Life Center,0839111,*,*,25,2015,special-ed
Middletown School District,0830011,Virtual Learning Academy - MHS,0831711,*,*,11,2015,special-ed
Middletown School District,0830011,Wesley School,0831411,243,24,267,2015,special-ed
Middletown School District,0830011,Woodrow Wilson Middle School,0835411,602,68,670,2015,special-ed
Milford School District,0840011,Calf Pen Meadow School,0840111,252,41,293,2015,special-ed
Milford School District,0840011,East Shore Middle School,0845111,396,60,456,2015,special-ed
Milford School District,0840011,Harborside Middle School,0845211,472,64,536,2015,special-ed
Milford School District,0840011,J. F. Kennedy School,0841911,339,39,378,2015,special-ed
Milford School District,0840011,Jonathan Law High School,0846211,822,118,940,2015,special-ed
Milford School District,0840011,Joseph A. Foran High School,0846311,788,132,920,2015,special-ed
Milford School District,0840011,Live Oaks School,0841611,290,25,315,2015,special-ed
Milford School District,0840011,Mathewson School,0841711,366,48,414,2015,special-ed
Milford School District,0840011,Meadowside School,0840711,283,32,315,2015,special-ed
Milford School District,0840011,Orange Avenue School,0840811,350,59,409,2015,special-ed
Milford School District,0840011,Orchard Hills School,0841811,332,38,370,2015,special-ed
Milford School District,0840011,Pumpkin Delight School,0841011,262,18,280,2015,special-ed
Milford School District,0840011,The Academy,0840311,37,10,47,2015,special-ed
Milford School District,0840011,West Shore Middle School,0845311,402,48,450,2015,special-ed
Monroe School District,0850011,Fawn Hollow Elementary School,0850511,448,49,497,2015,special-ed
Monroe School District,0850011,Jockey Hollow School,0855211,700,80,780,2015,special-ed
Monroe School District,0850011,Masuk Alternative Program,0850211,6,7,13,2015,special-ed
Monroe School District,0850011,Masuk High School,0856111,990,102,1092,2015,special-ed
Monroe School District,0850011,Monroe Elementary School,0850111,293,61,354,2015,special-ed
Monroe School District,0850011,REAL,0850411,*,0,*,2015,special-ed
Monroe School District,0850011,Stepney Elementary School,0850311,382,48,430,2015,special-ed
Montville School District,0860011,Dr. Charles E. Murphy School,0860711,289,53,342,2015,special-ed
Montville School District,0860011,Leonard J. Tyl Middle School,0865111,477,74,551,2015,special-ed
Montville School District,0860011,Mohegan School,0860111,283,50,333,2015,special-ed
Montville School District,0860011,Montville High School,0866111,588,66,654,2015,special-ed
Montville School District,0860011,Oakdale School,0860511,254,43,297,2015,special-ed
Montville School District,0860011,Palmer Academy,0869011,7,21,28,2015,special-ed
Montville School District,0860011,Pre School Program,0860311,20,20,40,2015,special-ed
Naugatuck School District,0880011,Andrew Avenue School,0880811,242,30,272,2015,special-ed
Naugatuck School District,0880011,Central Avenue Preschool,0888211,0,30,30,2015,special-ed
