district,district_code,11th_count,11_pct,12th_count,12th_pct,school_code
Ansonia School District,0020011,28,21.4,42,33.3,0020011
Avon School District,0040011,66,26.2,102,36.3,0040011
Berlin School District,0070011,49,23.4,88,36.5,0070011
Bethel School District,0090011,35,15.4,79,32.2,0090011
Bloomfield School District,0110011,10,5.8,25,15.3,0110011
Bolton School District,0120011,,,27,26.7,0120011
Bozrah School District,0130011,,,,,0130011
Branford School District,0140011,50,20.6,95,31.7,0140011
Bridgeport School District,0150011,87,10.1,184,17.4,0150011
Bristol School District,0170011,40,6.7,157,24.2,0170011
Brookfield School District,0180011,50,21.7,81,34.6,0180011
Brooklyn School District,0190011,,,,,0190011
Canterbury School District,0220011,,,,,0220011
Canton School District,0230011,23,17.7,50,36.5,0230011
Cheshire School District,0250011,95,23.8,126,31.3,0250011
Clinton School District,0270011,*,*,27,20.3,0270011
Colchester School District,0280011,42,18.3,84,32.1,0280011
Columbia School District,0300011,,,,,0300011
Coventry School District,0320011,26,21.8,66,46.2,0320011
Cromwell School District,0330011,43,31.9,55,39.6,0330011
Danbury School District,0340011,143,21.4,246,34.6,0340011
Darien School District,0350011,76,22.9,159,46.5,0350011
Derby School District,0370011,,,7,6.7,0370011
East Granby School District,0400011,16,25.0,26,38.8,0400011
East Haddam School District,0410011,11,9.7,19,18.4,0410011
East Hampton School District,0420011,24,18.9,34,26.8,0420011
East Hartford School District,0430011,51,9.8,84,18.7,0430011
East Haven School District,0440011,19,8.9,49,20.9,0440011
East Lyme School District,0450011,45,16.2,79,28.1,0450011
East Windsor School District,0470011,26,31.3,39,37.5,0470011
Ellington School District,0480011,17,8.3,28,14.3,0480011
Enfield School District,0490011,56,14.4,42,10.3,0490011
Fairfield School District,0510011,159,22.2,314,43.5,0510011
Farmington School District,0520011,132,40.2,187,54.0,0520011
Franklin School District,0530011,,,,,0530011
Glastonbury School District,0540011,188,35.3,245,41.0,0540011
Granby School District,0560011,51,31.7,94,45.2,0560011
Greenwich School District,0570011,206,31.7,329,49.2,0570011
Griswold School District,0580011,,,20,12.5,0580011
Groton School District,0590011,95,36.3,117,38.1,0590011
Guilford School District,0600011,50,18.2,95,33.6,0600011
Hamden School District,0620011,40,8.9,93,19.9,0620011
Hartford School District,0640011,37,3.0,49,4.1,0640011
Hartland School District,0650011,,,,,0650011
Killingly School District,0690011,13,7.3,22,10.8,0690011
Lebanon School District,0710011,17,16.8,26,24.8,0710011
Ledyard School District,0720011,26,11.1,54,21.7,0720011
Lisbon School District,0730011,,,,,0730011
Litchfield School District,0740011,14,20.6,16,24.2,0740011
Madison School District,0760011,54,16.9,153,47.7,0760011
Manchester School District,0770011,52,12.1,69,15.4,0770011
Meriden School District,0800011,37,7.5,96,17.9,0800011
Middletown School District,0830011,36,12.2,92,27.1,0830011
Milford School District,0840011,134,30.2,206,39.1,0840011
Monroe School District,0850011,70,21.9,80,26.2,0850011
Montville School District,0860011,17,9.1,39,20.5,0860011
Naugatuck School District,0880011,31,9.9,53,16.1,0880011
New Britain School District,0890011,42,6.4,133,25.2,0890011
New Canaan School District,0900011,56,18.4,140,43.5,0900011
New Fairfield School District,0910011,63,24.0,96,40.2,0910011
New Haven School District,0930011,215,16.8,318,27.7,0930011
Newington School District,0940011,60,17.8,102,27.7,0940011
New London School District,0950011,33,17.9,56,27.3,0950011
New Milford School District,0960011,24,6.7,78,21.9,0960011
Newtown School District,0970011,57,12.6,193,46.4,0970011
North Branford School District,0990011,19,11.2,22,14.9,0990011
North Haven School District,1010011,35,12.2,95,29.8,1010011
North Stonington School District,1020011,9,18.4,13,21.3,1020011
Norwalk School District,1030011,160,19.5,221,29.0,1030011
Norwich School District,1040011,*,*,,,1040011
Old Saybrook School District,1060011,30,23.6,47,35.3,1060011
Oxford School District,1080011,30,25.4,53,30.6,1080011
Plainfield School District,1090011,*,*,27,15.9,1090011
Plainville School District,1100011,41,23.8,77,44.8,1100011
Plymouth School District,1110011,*,*,21,14.7,1110011
Pomfret School District,1120011,,,,,1120011
Portland School District,1130011,,,10,9.9,1130011
Preston School District,1140011,,,,,1140011
Putnam School District,1160011,15,22.7,20,27.4,1160011
Ridgefield School District,1180011,108,24.2,246,53.8,1180011
Rocky Hill School District,1190011,22,11.7,42,23.6,1190011
Salem School District,1210011,,,,,1210011
Seymour School District,1240011,29,20.4,41,29.9,1240011
Shelton School District,1260011,50,13.4,95,26.2,1260011
Simsbury School District,1280011,138,36.5,222,56.1,1280011
Somers School District,1290011,*,*,26,19.8,1290011
Southington School District,1310011,27,5.4,137,26.2,1310011
South Windsor School District,1320011,43,12.4,95,26.7,1320011
Sprague School District,1330011,,,,,1330011
Stafford School District,1340011,,,9,6.4,1340011
Stamford School District,1350011,234,20.1,436,37.5,1350011
Sterling School District,1360011,,,,,1360011
Stonington School District,1370011,27,13.9,43,23.8,1370011
Stratford School District,1380011,17,3.5,144,22.4,1380011
Suffield School District,1390011,12,5.7,55,25.8,1390011
Thomaston School District,1400011,17,27.0,28,37.3,1400011
Thompson School District,1410011,,,*,*,1410011
Tolland School District,1420011,32,15.5,60,26.8,1420011
Torrington School District,1430011,29,11.1,47,18.0,1430011
Trumbull School District,1440011,50,9.4,92,16.7,1440011
Vernon School District,1460011,6,3.0,17,6.2,1460011
Voluntown School District,1470011,,,,,1470011
Wallingford School District,1480011,118,24.5,149,30.2,1480011
Waterbury School District,1510011,30,2.6,111,10.0,1510011
Waterford School District,1520011,38,17.4,52,25.1,1520011
Watertown School District,1530011,12,6.2,75,31.6,1530011
Westbrook School District,1540011,,,,,1540011
West Hartford School District,1550011,225,30.9,407,54.1,1550011
West Haven School District,1560011,11,3.3,38,10.9,1560011
Weston School District,1570011,70,40.7,117,63.2,1570011
Westport School District,1580011,80,17.3,200,43.5,1580011
Wethersfield School District,1590011,34,12.1,88,29.0,1590011
Wilton School District,1610011,64,19.5,175,57.6,1610011
Winchester School District,1620011,,,,,1620011
Windham School District,1630011,*,*,63,37.7,1630011
Windsor School District,1640011,48,16.7,68,21.9,1640011
Windsor Locks School District,1650011,13,10.5,37,25.2,1650011
Wolcott School District,1660011,,,19,7.7,1660011
Woodstock School District,1690011,,,,,1690011
Regional School District 01,2010012,,,26,22.2,2010012
Regional School District 04,2040012,26,14.5,42,30.0,2040012
Regional School District 05,2050012,63,15.0,125,29.6,2050012
Regional School District 06,2060012,,,,,2060012
Regional School District 07,2070012,11,7.6,41,18.9,2070012
Regional School District 08,2080012,35,12.9,72,24.0,2080012
Regional School District 09,2090012,43,16.5,108,41.5,2090012
Regional School District 10,2100012,20,10.9,62,27.7,2100012
Regional School District 11,2110012,7,13.7,10,25.6,2110012
Regional School District 12,2120012,9,11.7,20,24.7,2120012
Regional School District 13,2130012,*,*,20,13.8,2130012
Regional School District 14,2140012,37,19.2,92,40.9,2140012
Regional School District 15,2150012,35,11.7,116,35.0,2150012
Regional School District 16,2160012,32,19.2,72,37.7,2160012
Regional School District 17,2170012,22,13.0,35,22.3,2170012
Regional School District 18,2180012,25,29.4,62,54.4,2180012
Regional School District 19,2190012,9,3.1,54,16.7,2190012
Capitol Region Education Council,2410014,91,25.9,118,32.5,2410014
Education Connection,2420014,,,,,2420014
Cooperative Educational Services,2430014,,,,,2430014
Area Cooperative Educational Services,2440014,17,43.6,31,23.3,2440014
Learn,2450014,8,4.7,10,6.8,2450014
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,,,*,*,2530014
Common Ground High School District,2680013,6,15.4,9,31.0,2680013
The Bridge Academy District,2690013,,,,,2690013
Explorations District,2720013,,,,,2720013
Amistad Academy District,2790013,,,23,95.8,2790013
Stamford Academy District,2820013,,,,,2820013
Bridgeport Achievement First District,2850013,,,,,2850013
Elm City College Preparatory School District,2890013,,,21,95.5,2890013
Unified School District #1,3360015,,,,,3360015
Department of Mental Health and Addiction Services,3370015,,,,,3370015
Unified School District #2,3470015,,,,,3470015
Connecticut Technical High School System,9000016,8,0.3,56,2.4,9000016
Norwich Free Academy District,9010022,57,10.1,128,22.1,9010022
The Gilbert School District,9020022,17,21.3,26,33.8,9020022
Woodstock Academy District,9030022,38,13.3,69,25.7,9030022
